"filename", "language", "JSON", "Markdown", "JSON with Comments", "TypeScript", "PostCSS", "TypeScript JSX", "HTML", "JavaScript", "XML", "comment", "blank", "total"
"d:\code\coba\frontend\src\api\tasks.ts", "TypeScript", 0, 0, 0, 75, 0, 0, 0, 0, 0, 2, 18, 95
"d:\code\coba\frontend\src\api\team.ts", "TypeScript", 0, 0, 0, 77, 0, 0, 0, 0, 0, 2, 16, 95
"d:\code\coba\frontend\src\assets\react.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"d:\code\coba\frontend\src\assets\vite.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 2
"d:\code\coba\frontend\src\auth\index.ts", "TypeScript", 0, 0, 0, 43, 0, 0, 0, 0, 0, 21, 14, 78
"d:\code\coba\frontend\src\components\Layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 89, 0, 0, 0, 3, 11, 103
"d:\code\coba\frontend\src\components\UserSwitcher.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 81, 0, 0, 0, 1, 8, 90
"d:\code\coba\frontend\src\components\shared\Field.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 1, 14
"d:\code\coba\frontend\src\components\shared\GeoSection.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 68, 0, 0, 0, 0, 4, 72
"d:\code\coba\frontend\src\components\shared\StructureSection.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 68, 0, 0, 0, 0, 4, 72
"d:\code\coba\frontend\src\components\shared\index.ts", "TypeScript", 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 1, 7
"d:\code\coba\frontend\src\constants\geo.ts", "TypeScript", 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 2, 7
"d:\code\coba\frontend\src\constants\projects.ts", "TypeScript", 0, 0, 0, 31, 0, 0, 0, 0, 0, 1, 6, 38
"d:\code\coba\frontend\src\constants\structures.ts", "TypeScript", 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 3, 13
"d:\code\coba\frontend\src\constants\tasks.ts", "TypeScript", 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 2, 12
"d:\code\coba\frontend\src\i18n\context.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 26, 0, 0, 0, 0, 8, 34
"d:\code\coba\frontend\src\i18n\en.ts", "TypeScript", 0, 0, 0, 395, 0, 0, 0, 0, 0, 27, 21, 443
"d:\code\coba\frontend\src\i18n\pt.ts", "TypeScript", 0, 0, 0, 395, 0, 0, 0, 0, 0, 27, 21, 443
"d:\code\coba\frontend\src\index.css", "PostCSS", 0, 0, 0, 0, 1140, 0, 0, 0, 0, 56, 123, 1319
"d:\code\coba\frontend\src\main.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 2, 18
"d:\code\coba\frontend\src\trpc.ts", "TypeScript", 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 4, 21
"d:\code\coba\frontend\src\types\pages.ts", "TypeScript", 0, 0, 0, 44, 0, 0, 0, 0, 0, 1, 11, 56
"d:\code\coba\frontend\src\types\suggestions.ts", "TypeScript", 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 1, 7
"d:\code\coba\frontend\src\utils\download.ts", "TypeScript", 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 2, 13
"d:\code\coba\frontend\src\utils\format.ts", "TypeScript", 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 4, 13
"d:\code\coba\frontend\src\views\AddProject.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 317, 0, 0, 0, 4, 23, 344
"d:\code\coba\frontend\src\views\Home.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 329, 0, 0, 0, 14, 25, 368
"d:\code\coba\frontend\src\views\ProjectDetail.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 722, 0, 0, 0, 19, 43, 784
"d:\code\coba\frontend\src\views\Reports.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 405, 0, 0, 0, 11, 25, 441
"d:\code\coba\frontend\src\views\Requirements.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 633, 0, 0, 0, 15, 63, 711
"d:\code\coba\frontend\src\views\SearchProjects.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 131, 0, 0, 0, 2, 11, 144
"d:\code\coba\frontend\src\views\TaskDetail.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 244, 0, 0, 0, 6, 23, 273
"d:\code\coba\frontend\src\views\TeamMemberDetail.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 529, 0, 0, 0, 21, 39, 589
"d:\code\coba\frontend\src\views\TeamMembers.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 406, 0, 0, 0, 19, 44, 469
"d:\code\coba\frontend\tsconfig.app.json", "JSON", 21, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4, 27
"d:\code\coba\frontend\tsconfig.json", "JSON with Comments", 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 1, 8
"d:\code\coba\frontend\tsconfig.node.json", "JSON", 20, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3, 25
"d:\code\coba\frontend\vite.config.ts", "TypeScript", 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 2, 20
"d:\code\coba\package-lock.json", "JSON", 332, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 333
"d:\code\coba\package.json", "JSON", 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 18
"Total", "-", 5161, 3335, 38, 7484, 1140, 4124, 13, 22, 27, 455, 2404, 24203
